Label,No,B4,B3,B2,B1,F1,F2,F3,F4,POSB4,POSB3,POSB2,POSB1,POSF1,POSF2,POSF3,POSF4
1,23,喜,爱,待,在,他,的,办,公,v,v,v,p,r,uj,v,n
0,24,爱,待,在,他,的,办,公,厅,v,v,p,r,uj,v,n,n
1,25,待,在,他,的,办,公,厅,里,v,p,r,uj,v,n,n,f
0,26,在,他,的,办,公,厅,里,了,p,r,uj,v,n,n,f,ul
0,27,他,的,办,公,厅,里,了,，,r,uj,v,n,n,f,ul,x
1,28,的,办,公,厅,里,了,，,而,uj,v,n,n,f,ul,x,c
1,29,办,公,厅,里,了,，,而,他,v,n,n,f,ul,x,c,r
1,30,公,厅,里,了,，,而,他,的,n,n,f,ul,x,c,r,uj
1,31,厅,里,了,，,而,他,的,眼,n,f,ul,x,c,r,uj,n
1,32,里,了,，,而,他,的,眼,光,f,ul,x,c,r,uj,n,n
0,33,了,，,而,他,的,眼,光,，,ul,x,c,r,uj,n,n,x
1,34,，,而,他,的,眼,光,，,总,x,c,r,uj,n,n,x,b
0,35,而,他,的,眼,光,，,总,是,c,r,uj,n,n,x,b,v
1,36,他,的,眼,光,，,总,是,那,r,uj,n,n,x,b,v,r
1,37,的,眼,光,，,总,是,那,样,uj,n,n,x,b,v,r,n
0,38,眼,光,，,总,是,那,样,下,n,n,x,b,v,r,n,f
1,39,光,，,总,是,那,样,下,意,n,x,b,v,r,n,f,n
0,40,，,总,是,那,样,下,意,识,x,b,v,r,n,f,n,v
1,41,总,是,那,样,下,意,识,的,b,v,r,n,f,n,v,uj
0,42,是,那,样,下,意,识,的,追,v,r,n,f,n,v,uj,v
0,43,那,样,下,意,识,的,追,随,r,n,f,n,v,uj,v,v
0,44,样,下,意,识,的,追,随,着,n,f,n,v,uj,v,v,uz
1,45,下,意,识,的,追,随,着,她,f,n,v,uj,v,v,uz,r
0,46,意,识,的,追,随,着,她,。,n,v,uj,v,v,uz,r,x
0,47,识,的,追,随,着,她,。,/s,v,uj,v,v,uz,r,x,NAN
1,48,的,追,随,着,她,。,/s,/s,uj,v,v,uz,r,x,NAN,NAN
1,49,追,随,着,她,。,/s,/s,/s,v,v,uz,r,x,NAN,NAN,NAN
1,0,/s,/s,/s,/s,谁,知,道,以,NAN,NAN,NAN,NAN,r,v,q,p
1,1,/s,/s,/s,谁,知,道,以,后,NAN,NAN,NAN,r,v,q,p,f
0,2,/s,/s,谁,知,道,以,后,会,NAN,NAN,r,v,q,p,f,v
1,3,/s,谁,知,道,以,后,会,发,NAN,r,v,q,p,f,v,v
0,4,谁,知,道,以,后,会,发,展,r,v,q,p,f,v,v,v
1,5,知,道,以,后,会,发,展,成,v,q,p,f,v,v,v,n
1,6,道,以,后,会,发,展,成,什,q,p,f,v,v,v,n,r
0,7,以,后,会,发,展,成,什,么,p,f,v,v,v,n,r,y
1,8,后,会,发,展,成,什,么,样,f,v,v,v,n,r,y,n
1,9,会,发,展,成,什,么,样,子,v,v,v,n,r,y,n,ng
0,10,发,展,成,什,么,样,子,呢,v,v,n,r,y,n,ng,y
1,11,展,成,什,么,样,子,呢,？,v,n,r,y,n,ng,y,x
0,12,成,什,么,样,子,呢,？,/s,n,r,y,n,ng,y,x,NAN
1,13,什,么,样,子,呢,？,/s,/s,r,y,n,ng,y,x,NAN,NAN
1,14,么,样,子,呢,？,/s,/s,/s,y,n,ng,y,x,NAN,NAN,NAN
1,0,/s,/s,/s,/s,看,样,子,，,NAN,NAN,NAN,NAN,v,n,ng,x
0,1,/s,/s,/s,看,样,子,，,这,NAN,NAN,NAN,v,n,ng,x,r
0,2,/s,/s,看,样,子,，,这,个,NAN,NAN,v,n,ng,x,r,q
1,3,/s,看,样,子,，,这,个,在,NAN,v,n,ng,x,r,q,p
1,4,看,样,子,，,这,个,在,晒,v,n,ng,x,r,q,p,v
0,5,样,子,，,这,个,在,晒,茶,n,ng,x,r,q,p,v,n
1,6,子,，,这,个,在,晒,茶,场,ng,x,r,q,p,v,n,q
1,7,，,这,个,在,晒,茶,场,中,x,r,q,p,v,n,q,f
1,8,这,个,在,晒,茶,场,中,晕,r,q,p,v,n,q,f,v
0,9,个,在,晒,茶,场,中,晕,倒,q,p,v,n,q,f,v,v
1,10,在,晒,茶,场,中,晕,倒,的,p,v,n,q,f,v,v,uj
1,11,晒,茶,场,中,晕,倒,的,女,v,n,q,f,v,v,uj,b
0,12,茶,场,中,晕,倒,的,女,工,n,q,f,v,v,uj,b,n
0,13,场,中,晕,倒,的,女,工,，,q,f,v,v,uj,b,n,x
1,14,中,晕,倒,的,女,工,，,将,f,v,v,uj,b,n,x,d
0,15,晕,倒,的,女,工,，,将,可,v,v,uj,b,n,x,d,v
1,16,倒,的,女,工,，,将,可,能,v,uj,b,n,x,d,v,v
1,17,的,女,工,，,将,可,能,成,uj,b,n,x,d,v,v,n
1,18,女,工,，,将,可,能,成,为,b,n,x,d,v,v,n,p
0,19,工,，,将,可,能,成,为,童,n,x,d,v,v,n,p,nr
1,20,，,将,可,能,成,为,童,话,x,d,v,v,n,p,nr,n
0,21,将,可,能,成,为,童,话,中,d,v,v,n,p,nr,n,f
1,22,可,能,成,为,童,话,中,著,v,v,n,p,nr,n,f,n
0,23,能,成,为,童,话,中,著,名,v,n,p,nr,n,f,n,q
1,24,成,为,童,话,中,著,名,的,n,p,nr,n,f,n,q,uj
1,25,为,童,话,中,著,名,的,灰,p,nr,n,f,n,q,uj,n
0,26,童,话,中,著,名,的,灰,姑,nr,n,f,n,q,uj,n,n
0,27,话,中,著,名,的,灰,姑,娘,n,f,n,q,uj,n,n,n
1,28,中,著,名,的,灰,姑,娘,，,f,n,q,uj,n,n,n,x
0,29,著,名,的,灰,姑,娘,，,于,n,q,uj,n,n,n,x,p
0,30,名,的,灰,姑,娘,，,于,是,q,uj,n,n,n,x,p,v
1,31,的,灰,姑,娘,，,于,是,，,uj,n,n,n,x,p,v,x
1,32,灰,姑,娘,，,于,是,，,私,n,n,n,x,p,v,x,ag
0,33,姑,娘,，,于,是,，,私,下,n,n,x,p,v,x,ag,f
1,34,娘,，,于,是,，,私,下,里,n,x,p,v,x,ag,f,f
1,35,，,于,是,，,私,下,里,，,x,p,v,x,ag,f,f,x
0,36,于,是,，,私,下,里,，,他,p,v,x,ag,f,f,x,r
0,37,是,，,私,下,里,，,他,们,v,x,ag,f,f,x,r,k
1,38,，,私,下,里,，,他,们,都,x,ag,f,f,x,r,k,d
1,39,私,下,里,，,他,们,都,叫,ag,f,f,x,r,k,d,v
0,40,下,里,，,他,们,都,叫,她,f,f,x,r,k,d,v,r
1,41,里,，,他,们,都,叫,她,灰,f,x,r,k,d,v,r,n
1,42,，,他,们,都,叫,她,灰,姑,x,r,k,d,v,r,n,n
1,43,他,们,都,叫,她,灰,姑,娘,r,k,d,v,r,n,n,n
1,44,们,都,叫,她,灰,姑,娘,了,k,d,v,r,n,n,n,ul
0,45,都,叫,她,灰,姑,娘,了,。,d,v,r,n,n,n,ul,x
0,46,叫,她,灰,姑,娘,了,。,/s,v,r,n,n,n,ul,x,NAN
1,47,她,灰,姑,娘,了,。,/s,/s,r,n,n,n,ul,x,NAN,NAN
1,48,灰,姑,娘,了,。,/s,/s,/s,n,n,n,ul,x,NAN,NAN,NAN
1,0,/s,/s,/s,/s,尤,其,，,在,NAN,NAN,NAN,NAN,d,r,x,p
0,1,/s,/s,/s,尤,其,，,在,她,NAN,NAN,NAN,d,r,x,p,r
1,2,/s,/s,尤,其,，,在,她,那,NAN,NAN,d,r,x,p,r,r
1,3,/s,尤,其,，,在,她,那,身,NAN,d,r,x,p,r,r,ng
1,4,尤,其,，,在,她,那,身,女,d,r,x,p,r,r,ng,b
1,5,其,，,在,她,那,身,女,工,r,x,p,r,r,ng,b,n
0,6,，,在,她,那,身,女,工,的,x,p,r,r,ng,b,n,uj
1,7,在,她,那,身,女,工,的,服,p,r,r,ng,b,n,uj,v
0,8,她,那,身,女,工,的,服,装,r,r,ng,b,n,uj,v,v
0,9,那,身,女,工,的,服,装,剥,r,ng,b,n,uj,v,v,v
1,10,身,女,工,的,服,装,剥,掉,ng,b,n,uj,v,v,v,zg
0,11,女,工,的,服,装,剥,掉,之,b,n,uj,v,v,v,zg,u
1,12,工,的,服,装,剥,掉,之,后,n,uj,v,v,v,zg,u,f
0,13,的,服,装,剥,掉,之,后,，,uj,v,v,v,zg,u,f,x
1,14,服,装,剥,掉,之,后,，,她,v,v,v,zg,u,f,x,r
0,15,装,剥,掉,之,后,，,她,竟,v,v,zg,u,f,x,r,d
1,16,剥,掉,之,后,，,她,竟,显,v,zg,u,f,x,r,d,v
1,17,掉,之,后,，,她,竟,显,出,zg,u,f,x,r,d,v,v
1,18,之,后,，,她,竟,显,出,那,u,f,x,r,d,v,v,r
1,19,后,，,她,竟,显,出,那,样,f,x,r,d,v,v,r,n
0,20,，,她,竟,显,出,那,样,一,x,r,d,v,v,r,n,m
1,21,她,竟,显,出,那,样,一,份,r,d,v,v,r,n,m,q
0,22,竟,显,出,那,样,一,份,高,d,v,v,r,n,m,q,a
1,23,显,出,那,样,一,份,高,贵,v,v,r,n,m,q,a,a
0,24,出,那,样,一,份,高,贵,的,v,r,n,m,q,a,a,uj
1,25,那,样,一,份,高,贵,的,气,r,n,m,q,a,a,uj,n
0,26,样,一,份,高,贵,的,气,质,n,m,q,a,a,uj,n,ng
0,27,一,份,高,贵,的,气,质,来,m,q,a,a,uj,n,ng,v
1,28,份,高,贵,的,气,质,来,，,q,a,a,uj,n,ng,v,x
0,29,高,贵,的,气,质,来,，,灰,a,a,uj,n,ng,v,x,n
1,30,贵,的,气,质,来,，,灰,姑,a,uj,n,ng,v,x,n,n
1,31,的,气,质,来,，,灰,姑,娘,uj,n,ng,v,x,n,n,n
1,32,气,质,来,，,灰,姑,娘,的,n,ng,v,x,n,n,n,uj
0,33,质,来,，,灰,姑,娘,的,绰,ng,v,x,n,n,n,uj,n
0,34,来,，,灰,姑,娘,的,绰,号,v,x,n,n,n,uj,n,m
0,35,，,灰,姑,娘,的,绰,号,就,x,n,n,n,uj,n,m,d
1,36,灰,姑,娘,的,绰,号,就,在,n,n,n,uj,n,m,d,p
0,37,姑,娘,的,绰,号,就,在,整,n,n,uj,n,m,d,p,v
1,38,娘,的,绰,号,就,在,整,个,n,uj,n,m,d,p,v,q
1,39,的,绰,号,就,在,整,个,工,uj,n,m,d,p,v,q,n
1,40,绰,号,就,在,整,个,工,厂,n,m,d,p,v,q,n,zg
0,41,号,就,在,整,个,工,厂,中,m,d,p,v,q,n,zg,f
1,42,就,在,整,个,工,厂,中,不,d,p,v,q,n,zg,f,d
0,43,在,整,个,工,厂,中,不,胫,p,v,q,n,zg,f,d,ng
1,44,整,个,工,厂,中,不,胫,而,v,q,n,zg,f,d,ng,c
1,45,个,工,厂,中,不,胫,而,走,q,n,zg,f,d,ng,c,v
1,46,工,厂,中,不,胫,而,走,了,n,zg,f,d,ng,c,v,ul
0,47,厂,中,不,胫,而,走,了,。,zg,f,d,ng,c,v,ul,x
0,48,中,不,胫,而,走,了,。,/s,f,d,ng,c,v,ul,x,NAN
1,49,不,胫,而,走,了,。,/s,/s,d,ng,c,v,ul,x,NAN,NAN
1,50,胫,而,走,了,。,/s,/s,/s,ng,c,v,ul,x,NAN,NAN,NAN
1,0,/s,/s,/s,/s,柏,霈,文,知,NAN,NAN,NAN,NAN,nr,g,n,v
0,1,/s,/s,/s,柏,霈,文,知,道,NAN,NAN,NAN,nr,g,n,v,q
1,2,/s,/s,柏,霈,文,知,道,大,NAN,NAN,nr,g,n,v,q,a
1,3,/s,柏,霈,文,知,道,大,家,NAN,nr,g,n,v,q,a,q
0,4,柏,霈,文,知,道,大,家,背,nr,g,n,v,q,a,q,v
1,5,霈,文,知,道,大,家,背,后,g,n,v,q,a,q,v,f
0,6,文,知,道,大,家,背,后,对,n,v,q,a,q,v,f,p
1,7,知,道,大,家,背,后,对,这,v,q,a,q,v,f,p,r
0,8,道,大,家,背,后,对,这,件,q,a,q,v,f,p,r,zg
1,9,大,家,背,后,对,这,件,事,a,q,v,f,p,r,zg,n
1,10,家,背,后,对,这,件,事,一,q,v,f,p,r,zg,n,m
0,11,背,后,对,这,件,事,一,定,v,f,p,r,zg,n,m,v
1,12,后,对,这,件,事,一,定,有,f,p,r,zg,n,m,v,v
1,13,对,这,件,事,一,定,有,很,p,r,zg,n,m,v,v,zg
0,14,这,件,事,一,定,有,很,多,r,zg,n,m,v,v,zg,m
1,15,件,事,一,定,有,很,多,议,zg,n,m,v,v,zg,m,zg
1,16,事,一,定,有,很,多,议,论,n,m,v,v,zg,m,zg,zg
0,17,一,定,有,很,多,议,论,，,m,v,v,zg,m,zg,zg,x
1,18,定,有,很,多,议,论,，,但,v,v,zg,m,zg,zg,x,c
0,19,有,很,多,议,论,，,但,他,v,zg,m,zg,zg,x,c,r
1,20,很,多,议,论,，,但,他,一,zg,m,zg,zg,x,c,r,m
1,21,多,议,论,，,但,他,一,点,m,zg,zg,x,c,r,m,m
1,22,议,论,，,但,他,一,点,也,zg,zg,x,c,r,m,m,d
1,23,论,，,但,他,一,点,也,不,zg,x,c,r,m,m,d,d
0,24,，,但,他,一,点,也,不,在,x,c,r,m,m,d,d,p
1,25,但,他,一,点,也,不,在,乎,c,r,m,m,d,d,p,zg
1,26,他,一,点,也,不,在,乎,。,r,m,m,d,d,p,zg,x
1,27,一,点,也,不,在,乎,。,/s,m,m,d,d,p,zg,x,NAN
0,28,点,也,不,在,乎,。,/s,/s,m,d,d,p,zg,x,NAN,NAN
1,29,也,不,在,乎,。,/s,/s,/s,d,d,p,zg,x,NAN,NAN,NAN
1,0,/s,/s,/s,/s,含,烟,在,最,NAN,NAN,NAN,NAN,v,n,p,d
0,1,/s,/s,/s,含,烟,在,最,初,NAN,NAN,NAN,v,n,p,d,f
1,2,/s,/s,含,烟,在,最,初,的,NAN,NAN,v,n,p,d,f,uj
1,3,/s,含,烟,在,最,初,的,几,NAN,v,n,p,d,f,uj,m
0,4,含,烟,在,最,初,的,几,天,v,n,p,d,f,uj,m,q
0,5,烟,在,最,初,的,几,天,内,n,p,d,f,uj,m,q,n
1,6,在,最,初,的,几,天,内,，,p,d,f,uj,m,q,n,x
0,7,最,初,的,几,天,内,，,确,d,f,uj,m,q,n,x,d
1,8,初,的,几,天,内,，,确,实,f,uj,m,q,n,x,d,n
1,9,的,几,天,内,，,确,实,有,uj,m,q,n,x,d,n,v
1,10,几,天,内,，,确,实,有,些,m,q,n,x,d,n,v,q
0,11,天,内,，,确,实,有,些,局,q,n,x,d,n,v,q,n
1,12,内,，,确,实,有,些,局,促,n,x,d,n,v,q,n,v
0,13,，,确,实,有,些,局,促,和,x,d,n,v,q,n,v,c
1,14,确,实,有,些,局,促,和,不,d,n,v,q,n,v,c,d
0,15,实,有,些,局,促,和,不,安,n,v,q,n,v,c,d,v
1,16,有,些,局,促,和,不,安,，,v,q,n,v,c,d,v,x
1,17,些,局,促,和,不,安,，,可,q,n,v,c,d,v,x,v
1,18,局,促,和,不,安,，,可,是,n,v,c,d,v,x,v,v
1,19,促,和,不,安,，,可,是,，,v,c,d,v,x,v,v,x
1,20,和,不,安,，,可,是,，,接,c,d,v,x,v,v,x,v
0,21,不,安,，,可,是,，,接,下,d,v,x,v,v,x,v,f
1,22,安,，,可,是,，,接,下,来,v,x,v,v,x,v,f,v
1,23,，,可,是,，,接,下,来,，,x,v,v,x,v,f,v,x
0,24,可,是,，,接,下,来,，,她,v,v,x,v,f,v,x,r
0,25,是,，,接,下,来,，,她,也,v,x,v,f,v,x,r,d
1,26,，,接,下,来,，,她,也,就,x,v,f,v,x,r,d,d
1,27,接,下,来,，,她,也,就,坦,v,f,v,x,r,d,d,n
1,28,下,来,，,她,也,就,坦,然,f,v,x,r,d,d,n,c
1,29,来,，,她,也,就,坦,然,了,v,x,r,d,d,n,c,ul
1,30,，,她,也,就,坦,然,了,。,x,r,d,d,n,c,ul,x
0,31,她,也,就,坦,然,了,。,/s,r,d,d,n,c,ul,x,NAN
1,32,也,就,坦,然,了,。,/s,/s,d,d,n,c,ul,x,NAN,NAN
1,33,就,坦,然,了,。,/s,/s,/s,d,n,c,ul,x,NAN,NAN,NAN
1,0,/s,/s,/s,/s,她,对,女,工,NAN,NAN,NAN,NAN,r,p,b,n
1,1,/s,/s,/s,她,对,女,工,们,NAN,NAN,NAN,r,p,b,n,k
1,2,/s,/s,她,对,女,工,们,十,NAN,NAN,r,p,b,n,k,m
0,3,/s,她,对,女,工,们,十,分,NAN,r,p,b,n,k,m,v
1,4,她,对,女,工,们,十,分,温,r,p,b,n,k,m,v,nr
1,5,对,女,工,们,十,分,温,柔,p,b,n,k,m,v,nr,v
0,6,女,工,们,十,分,温,柔,和,b,n,k,m,v,nr,v,c
1,7,工,们,十,分,温,柔,和,气,n,k,m,v,nr,v,c,n
0,8,们,十,分,温,柔,和,气,，,k,m,v,nr,v,c,n,x
1,9,十,分,温,柔,和,气,，,俨,m,v,nr,v,c,n,x,v
1,10,分,温,柔,和,气,，,俨,然,v,nr,v,c,n,x,v,c
1,11,温,柔,和,气,，,俨,然,仍,nr,v,c,n,x,v,c,zg
1,12,柔,和,气,，,俨,然,仍,是,v,c,n,x,v,c,zg,v
0,13,和,气,，,俨,然,仍,是,平,c,n,x,v,c,zg,v,n
1,14,气,，,俨,然,仍,是,平,等,n,x,v,c,zg,v,n,u
1,15,，,俨,然,仍,是,平,等,地,x,v,c,zg,v,n,u,uv
1,16,俨,然,仍,是,平,等,地,位,v,c,zg,v,n,u,uv,q
0,17,然,仍,是,平,等,地,位,，,c,zg,v,n,u,uv,q,x
0,18,仍,是,平,等,地,位,，,她,zg,v,n,u,uv,q,x,r
1,19,是,平,等,地,位,，,她,对,v,n,u,uv,q,x,r,p
1,20,平,等,地,位,，,她,对,赵,n,u,uv,q,x,r,p,nr
1,21,等,地,位,，,她,对,赵,经,u,uv,q,x,r,p,nr,n
1,22,地,位,，,她,对,赵,经,理,uv,q,x,r,p,nr,n,n
1,23,位,，,她,对,赵,经,理,等,q,x,r,p,nr,n,n,u
1,24,，,她,对,赵,经,理,等,人,x,r,p,nr,n,n,u,n
0,25,她,对,赵,经,理,等,人,又,r,p,nr,n,n,u,n,d
1,26,对,赵,经,理,等,人,又,十,p,nr,n,n,u,n,d,m
1,27,赵,经,理,等,人,又,十,分,nr,n,n,u,n,d,m,v
1,28,经,理,等,人,又,十,分,尊,n,n,u,n,d,m,v,q
1,29,理,等,人,又,十,分,尊,敬,n,u,n,d,m,v,q,v
0,30,等,人,又,十,分,尊,敬,，,u,n,d,m,v,q,v,x
1,31,人,又,十,分,尊,敬,，,因,n,d,m,v,q,v,x,p
0,32,又,十,分,尊,敬,，,因,此,d,m,v,q,v,x,p,zg
1,33,十,分,尊,敬,，,因,此,，,m,v,q,v,x,p,zg,x
1,34,分,尊,敬,，,因,此,，,上,v,q,v,x,p,zg,x,f
0,35,尊,敬,，,因,此,，,上,上,q,v,x,p,zg,x,f,f
1,36,敬,，,因,此,，,上,上,下,v,x,p,zg,x,f,f,f
1,37,，,因,此,，,上,上,下,下,x,p,zg,x,f,f,f,f
0,38,因,此,，,上,上,下,下,的,p,zg,x,f,f,f,f,uj
0,39,此,，,上,上,下,下,的,人,zg,x,f,f,f,f,uj,n
0,40,，,上,上,下,下,的,人,，,x,f,f,f,f,uj,n,x
0,41,上,上,下,下,的,人,，,对,f,f,f,f,uj,n,x,p
1,42,上,下,下,的,人,，,对,她,f,f,f,uj,n,x,p,r
1,43,下,下,的,人,，,对,她,倒,f,f,uj,n,x,p,r,v
1,44,下,的,人,，,对,她,倒,都,f,uj,n,x,p,r,v,d
1,45,的,人,，,对,她,倒,都,十,uj,n,x,p,r,v,d,m
1,46,人,，,对,她,倒,都,十,分,n,x,p,r,v,d,m,v
1,47,，,对,她,倒,都,十,分,喜,x,p,r,v,d,m,v,v
1,48,对,她,倒,都,十,分,喜,爱,p,r,v,d,m,v,v,v
0,49,她,倒,都,十,分,喜,爱,，,r,v,d,m,v,v,v,x
1,50,倒,都,十,分,喜,爱,，,而,v,d,m,v,v,v,x,c
0,51,都,十,分,喜,爱,，,而,且,d,m,v,v,v,x,c,zg
1,52,十,分,喜,爱,，,而,且,都,m,v,v,v,x,c,zg,d
1,53,分,喜,爱,，,而,且,都,愿,v,v,v,x,c,zg,d,v
0,54,喜,爱,，,而,且,都,愿,对,v,v,x,c,zg,d,v,p
1,55,爱,，,而,且,都,愿,对,她,v,x,c,zg,d,v,p,r
1,56,，,而,且,都,愿,对,她,献,x,c,zg,d,v,p,r,v
1,57,而,且,都,愿,对,她,献,些,c,zg,d,v,p,r,v,q
1,58,且,都,愿,对,她,献,些,小,zg,d,v,p,r,v,q,a
1,59,都,愿,对,她,献,些,小,殷,d,v,p,r,v,q,a,nr
1,60,愿,对,她,献,些,小,殷,勤,v,p,r,v,q,a,nr,a
0,61,对,她,献,些,小,殷,勤,。,p,r,v,q,a,nr,a,x
1,62,她,献,些,小,殷,勤,。,/s,r,v,q,a,nr,a,x,NAN
0,63,献,些,小,殷,勤,。,/s,/s,v,q,a,nr,a,x,NAN,NAN
1,64,些,小,殷,勤,。,/s,/s,/s,q,a,nr,a,x,NAN,NAN,NAN
1,0,/s,/s,/s,/s,连,蔡,金,花,NAN,NAN,NAN,NAN,nr,nr,nr,v
1,1,/s,/s,/s,连,蔡,金,花,，,NAN,NAN,NAN,nr,nr,nr,v,x
1,2,/s,/s,连,蔡,金,花,，,都,NAN,NAN,nr,nr,nr,v,x,d
0,3,/s,连,蔡,金,花,，,都,曾,NAN,nr,nr,nr,v,x,d,d
1,4,连,蔡,金,花,，,都,曾,得,nr,nr,nr,v,x,d,d,ud
1,5,蔡,金,花,，,都,曾,得,意,nr,nr,v,x,d,d,ud,n
1,6,金,花,，,都,曾,得,意,的,nr,v,x,d,d,ud,n,uj
0,7,花,，,都,曾,得,意,的,对,v,x,d,d,ud,n,uj,p
1,8,，,都,曾,得,意,的,对,其,x,d,d,ud,n,uj,p,r
0,9,都,曾,得,意,的,对,其,他,d,d,ud,n,uj,p,r,r
1,10,曾,得,意,的,对,其,他,女,d,ud,n,uj,p,r,r,b
1,11,得,意,的,对,其,他,女,工,ud,n,uj,p,r,r,b,n
0,12,意,的,对,其,他,女,工,说,n,uj,p,r,r,b,n,v
1,13,的,对,其,他,女,工,说,：,uj,p,r,r,b,n,v,x
0,14,对,其,他,女,工,说,：,我,p,r,r,b,n,v,x,r
1,15,其,他,女,工,说,：,我,早,r,r,b,n,v,x,r,a
1,16,他,女,工,说,：,我,早,就,r,b,n,v,x,r,a,d
1,17,女,工,说,：,我,早,就,知,b,n,v,x,r,a,d,v
1,18,工,说,：,我,早,就,知,道,n,v,x,r,a,d,v,q
0,19,说,：,我,早,就,知,道,她,v,x,r,a,d,v,q,r
1,20,：,我,早,就,知,道,她,不,x,r,a,d,v,q,r,d
0,21,我,早,就,知,道,她,不,是,r,a,d,v,q,r,d,v
1,22,早,就,知,道,她,不,是,我,a,d,v,q,r,d,v,r
1,23,就,知,道,她,不,是,我,们,d,v,q,r,d,v,r,k
1,24,知,道,她,不,是,我,们,这,v,q,r,d,v,r,k,r
1,25,道,她,不,是,我,们,这,种,q,r,d,v,r,k,r,m
0,26,她,不,是,我,们,这,种,人,r,d,v,r,k,r,m,n
1,27,不,是,我,们,这,种,人,，,d,v,r,k,r,m,n,x
0,28,是,我,们,这,种,人,，,她,v,r,k,r,m,n,x,r
1,29,我,们,这,种,人,，,她,第,r,k,r,m,n,x,r,m
1,30,们,这,种,人,，,她,第,一,k,r,m,n,x,r,m,m
1,31,这,种,人,，,她,第,一,天,r,m,n,x,r,m,m,q
1,32,种,人,，,她,第,一,天,来,m,n,x,r,m,m,q,v
0,33,人,，,她,第,一,天,来,，,n,x,r,m,m,q,v,x
0,34,，,她,第,一,天,来,，,我,x,r,m,m,q,v,x,r
1,35,她,第,一,天,来,，,我,就,r,m,m,q,v,x,r,d
1,36,第,一,天,来,，,我,就,看,m,m,q,v,x,r,d,v
1,37,一,天,来,，,我,就,看,出,m,q,v,x,r,d,v,v
1,38,天,来,，,我,就,看,出,她,q,v,x,r,d,v,v,r
1,39,来,，,我,就,看,出,她,不,v,x,r,d,v,v,r,d
0,40,，,我,就,看,出,她,不,简,x,r,d,v,v,r,d,a
1,41,我,就,看,出,她,不,简,单,r,d,v,v,r,d,a,n
1,42,就,看,出,她,不,简,单,了,d,v,v,r,d,a,n,ul
1,43,看,出,她,不,简,单,了,。,v,v,r,d,a,n,ul,x
0,44,出,她,不,简,单,了,。,/s,v,r,d,a,n,ul,x,NAN
1,45,她,不,简,单,了,。,/s,/s,r,d,a,n,ul,x,NAN,NAN
1,46,不,简,单,了,。,/s,/s,/s,d,a,n,ul,x,NAN,NAN,NAN
1,0,/s,/s,/s,/s,看,吧,，,说,NAN,NAN,NAN,NAN,v,y,x,v
0,1,/s,/s,/s,看,吧,，,说,不,NAN,NAN,NAN,v,y,x,v,d
1,2,/s,/s,看,吧,，,说,不,定,NAN,NAN,v,y,x,v,d,v
1,3,/s,看,吧,，,说,不,定,那,NAN,v,y,x,v,d,v,r
0,4,看,吧,，,说,不,定,那,一,v,y,x,v,d,v,r,m
1,5,吧,，,说,不,定,那,一,天,y,x,v,d,v,r,m,q
1,6,，,说,不,定,那,一,天,，,x,v,d,v,r,m,q,x
1,7,说,不,定,那,一,天,，,她,v,d,v,r,m,q,x,r
0,8,不,定,那,一,天,，,她,会,d,v,r,m,q,x,r,v
1,9,定,那,一,天,，,她,会,成,v,r,m,q,x,r,v,n
1,10,那,一,天,，,她,会,成,为,r,m,q,x,r,v,n,p
1,11,一,天,，,她,会,成,为,我,m,q,x,r,v,n,p,r
1,12,天,，,她,会,成,为,我,们,q,x,r,v,n,p,r,k
0,13,，,她,会,成,为,我,们,的,x,r,v,n,p,r,k,uj
1,14,她,会,成,为,我,们,的,老,r,v,n,p,r,k,uj,a
0,15,会,成,为,我,们,的,老,板,v,n,p,r,k,uj,a,ng
0,16,成,为,我,们,的,老,板,娘,n,p,r,k,uj,a,ng,n
1,17,为,我,们,的,老,板,娘,呢,p,r,k,uj,a,ng,n,y
0,18,我,们,的,老,板,娘,呢,！,r,k,uj,a,ng,n,y,x
0,19,们,的,老,板,娘,呢,！,/s,k,uj,a,ng,n,y,x,NAN
1,20,的,老,板,娘,呢,！,/s,/s,uj,a,ng,n,y,x,NAN,NAN
1,21,老,板,娘,呢,！,/s,/s,/s,a,ng,n,y,x,NAN,NAN,NAN
1,0,/s,/s,/s,/s,既,然,有,这,NAN,NAN,NAN,NAN,c,c,v,r
0,1,/s,/s,/s,既,然,有,这,种,NAN,NAN,NAN,c,c,v,r,m
1,2,/s,/s,既,然,有,这,种,可,NAN,NAN,c,c,v,r,m,v
1,3,/s,既,然,有,这,种,可,能,NAN,c,c,v,r,m,v,v
0,4,既,然,有,这,种,可,能,性,c,c,v,r,m,v,v,n
1,5,然,有,这,种,可,能,性,，,c,v,r,m,v,v,n,x
0,6,有,这,种,可,能,性,，,谁,v,r,m,v,v,n,x,r
0,7,这,种,可,能,性,，,谁,还,r,m,v,v,n,x,r,d
1,8,种,可,能,性,，,谁,还,敢,m,v,v,n,x,r,d,v
1,9,可,能,性,，,谁,还,敢,轻,v,v,n,x,r,d,v,a
1,10,能,性,，,谁,还,敢,轻,视,v,n,x,r,d,v,a,vg
1,11,性,，,谁,还,敢,轻,视,她,n,x,r,d,v,a,vg,r
1,12,，,谁,还,敢,轻,视,她,呢,x,r,d,v,a,vg,r,y
0,13,谁,还,敢,轻,视,她,呢,？,r,d,v,a,vg,r,y,x
1,14,还,敢,轻,视,她,呢,？,/s,d,v,a,vg,r,y,x,NAN
