Label,No,B3,B2,B1,F1,F2,F3,POSB3,POSB2,POSB1,POSF1,POSF2,POSF3
1,3,南,希,仁,铁,牛,耕,ns,v,ng,n,n,n
0,4,希,仁,铁,牛,耕,地,v,ng,n,n,n,uv
1,5,仁,铁,牛,耕,地,，,ng,n,n,n,uv,x
0,6,铁,牛,耕,地,，,掌,n,n,n,uv,x,v
1,7,牛,耕,地,，,掌,锋,n,n,uv,x,v,nr
1,8,耕,地,，,掌,锋,截,n,uv,x,v,nr,v
0,9,地,，,掌,锋,截,将,uv,x,v,nr,v,d
1,10,，,掌,锋,截,将,下,x,v,nr,v,d,f
1,11,掌,锋,截,将,下,来,v,nr,v,d,f,v
1,12,锋,截,将,下,来,。,nr,v,d,f,v,x
0,13,截,将,下,来,。,/s,v,d,f,v,x,NAN
1,14,将,下,来,。,/s,/s,d,f,v,x,NAN,NAN
1,0,/s,/s,/s,郭,靖,正,NAN,NAN,NAN,nr,nr,d
0,1,/s,/s,郭,靖,正,要,NAN,NAN,nr,nr,d,v
0,2,/s,郭,靖,正,要,收,NAN,nr,nr,d,v,v
1,3,郭,靖,正,要,收,腿,nr,nr,d,v,v,n
1,4,靖,正,要,收,腿,变,nr,d,v,v,n,v
0,5,正,要,收,腿,变,招,d,v,v,n,v,v
1,6,要,收,腿,变,招,，,v,v,n,v,v,x
0,7,收,腿,变,招,，,南,v,n,v,v,x,ns
1,8,腿,变,招,，,南,希,n,v,v,x,ns,v
1,9,变,招,，,南,希,仁,v,v,x,ns,v,ng
0,10,招,，,南,希,仁,叫,v,x,ns,v,ng,v
0,11,，,南,希,仁,叫,道,x,ns,v,ng,v,q
1,12,南,希,仁,叫,道,：,ns,v,ng,v,q,x
1,13,希,仁,叫,道,：,记,v,ng,v,q,x,n
1,14,仁,叫,道,：,记,住,ng,v,q,x,n,v
1,15,叫,道,：,记,住,这,v,q,x,n,v,r
0,16,道,：,记,住,这,招,q,x,n,v,r,v
1,17,：,记,住,这,招,！,x,n,v,r,v,x
0,18,记,住,这,招,！,/s,n,v,r,v,x,NAN
1,19,住,这,招,！,/s,/s,v,r,v,x,NAN,NAN
1,0,/s,/s,/s,左,手,倏,NAN,NAN,NAN,m,n,zg
0,1,/s,/s,左,手,倏,出,NAN,NAN,m,n,zg,v
1,2,/s,左,手,倏,出,，,NAN,m,n,zg,v,x
0,3,左,手,倏,出,，,拍,m,n,zg,v,x,v
1,4,手,倏,出,，,拍,向,n,zg,v,x,v,p
1,5,倏,出,，,拍,向,郭,zg,v,x,v,p,nr
0,6,出,，,拍,向,郭,靖,v,x,v,p,nr,nr
1,7,，,拍,向,郭,靖,胸,x,v,p,nr,nr,ng
0,8,拍,向,郭,靖,胸,前,v,p,nr,nr,ng,f
1,9,向,郭,靖,胸,前,。,p,nr,nr,ng,f,x
0,10,郭,靖,胸,前,。,/s,nr,nr,ng,f,x,NAN
1,11,靖,胸,前,。,/s,/s,nr,ng,f,x,NAN,NAN
1,0,/s,/s,/s,郭,靖,右,NAN,NAN,NAN,nr,nr,f
0,1,/s,/s,郭,靖,右,掌,NAN,NAN,nr,nr,f,v
0,2,/s,郭,靖,右,掌,立,NAN,nr,nr,f,v,v
1,3,郭,靖,右,掌,立,即,nr,nr,f,v,v,v
1,4,靖,右,掌,立,即,上,nr,f,v,v,v,f
0,5,右,掌,立,即,上,格,f,v,v,v,f,n
1,6,掌,立,即,上,格,，,v,v,v,f,n,x
1,7,立,即,上,格,，,这,v,v,f,n,x,r
1,8,即,上,格,，,这,一,v,f,n,x,r,m
1,9,上,格,，,这,一,掌,f,n,x,r,m,v
0,10,格,，,这,一,掌,也,n,x,r,m,v,d
0,11,，,这,一,掌,也,算,x,r,m,v,d,v
1,12,这,一,掌,也,算,颇,r,m,v,d,v,d
1,13,一,掌,也,算,颇,为,m,v,d,v,d,p
1,14,掌,也,算,颇,为,快,v,d,v,d,p,a
0,15,也,算,颇,为,快,捷,d,v,d,p,a,ns
1,16,算,颇,为,快,捷,。,v,d,p,a,ns,x
0,17,颇,为,快,捷,。,/s,d,p,a,ns,x,NAN
1,18,为,快,捷,。,/s,/s,p,a,ns,x,NAN,NAN
1,0,/s,/s,/s,南,希,仁,NAN,NAN,NAN,ns,v,ng
0,1,/s,/s,南,希,仁,左,NAN,NAN,ns,v,ng,m
0,2,/s,南,希,仁,左,掌,NAN,ns,v,ng,m,v
1,3,南,希,仁,左,掌,飞,ns,v,ng,m,v,n
0,4,希,仁,左,掌,飞,出,v,ng,m,v,n,v
0,5,仁,左,掌,飞,出,，,ng,m,v,n,v,x
1,6,左,掌,飞,出,，,拍,m,v,n,v,x,v
1,7,掌,飞,出,，,拍,的,v,n,v,x,v,uj
1,8,飞,出,，,拍,的,一,n,v,x,v,uj,m
0,9,出,，,拍,的,一,声,v,x,v,uj,m,n
1,10,，,拍,的,一,声,，,x,v,uj,m,n,x
0,11,拍,的,一,声,，,双,v,uj,m,n,x,n
1,12,的,一,声,，,双,掌,uj,m,n,x,n,v
1,13,一,声,，,双,掌,相,m,n,x,n,v,v
0,14,声,，,双,掌,相,交,n,x,n,v,v,v
0,15,，,双,掌,相,交,，,x,n,v,v,v,x
1,16,双,掌,相,交,，,虽,n,v,v,v,x,zg
1,17,掌,相,交,，,虽,只,v,v,v,x,zg,d
1,18,相,交,，,虽,只,使,v,v,x,zg,d,v
1,19,交,，,虽,只,使,了,v,x,zg,d,v,ul
1,20,，,虽,只,使,了,三,x,zg,d,v,ul,m
1,21,虽,只,使,了,三,成,zg,d,v,ul,m,n
1,22,只,使,了,三,成,力,d,v,ul,m,n,n
0,23,使,了,三,成,力,，,v,ul,m,n,n,x
1,24,了,三,成,力,，,郭,ul,m,n,n,x,nr
1,25,三,成,力,，,郭,靖,m,n,n,x,nr,nr
1,26,成,力,，,郭,靖,已,n,n,x,nr,nr,d
0,27,力,，,郭,靖,已,是,n,x,nr,nr,d,v
1,28,，,郭,靖,已,是,身,x,nr,nr,d,v,ng
1,29,郭,靖,已,是,身,不,nr,nr,d,v,ng,d
1,30,靖,已,是,身,不,由,nr,d,v,ng,d,p
0,31,已,是,身,不,由,主,d,v,ng,d,p,b
1,32,是,身,不,由,主,的,v,ng,d,p,b,uj
0,33,身,不,由,主,的,向,ng,d,p,b,uj,p
0,34,不,由,主,的,向,外,d,p,b,uj,p,f
1,35,由,主,的,向,外,跌,p,b,uj,p,f,v
1,36,主,的,向,外,跌,出,b,uj,p,f,v,v
0,37,的,向,外,跌,出,。,uj,p,f,v,v,x
0,38,向,外,跌,出,。,/s,p,f,v,v,x,NAN
1,39,外,跌,出,。,/s,/s,f,v,v,x,NAN,NAN
1,0,/s,/s,/s,他,双,手,NAN,NAN,NAN,r,n,n
1,1,/s,/s,他,双,手,在,NAN,NAN,r,n,n,p
0,2,/s,他,双,手,在,地,NAN,r,n,n,p,uv
1,3,他,双,手,在,地,下,r,n,n,p,uv,f
0,4,双,手,在,地,下,一,n,n,p,uv,f,m
1,5,手,在,地,下,一,撑,n,p,uv,f,m,v
1,6,在,地,下,一,撑,，,p,uv,f,m,v,x
0,7,地,下,一,撑,，,立,uv,f,m,v,x,v
1,8,下,一,撑,，,立,即,f,m,v,x,v,v
1,9,一,撑,，,立,即,跃,m,v,x,v,v,v
0,10,撑,，,立,即,跃,起,v,x,v,v,v,v
1,11,，,立,即,跃,起,，,x,v,v,v,v,x
0,12,立,即,跃,起,，,满,v,v,v,v,x,a
1,13,即,跃,起,，,满,脸,v,v,v,x,a,n
1,14,跃,起,，,满,脸,愧,v,v,x,a,n,vg
0,15,起,，,满,脸,愧,色,v,x,a,n,vg,ng
1,16,，,满,脸,愧,色,。,x,a,n,vg,ng,x
0,17,满,脸,愧,色,。,/s,a,n,vg,ng,x,NAN
1,18,脸,愧,色,。,/s,/s,n,vg,ng,x,NAN,NAN
1,0,/s,/s,/s,南,希,仁,NAN,NAN,NAN,ns,v,ng
0,1,/s,/s,南,希,仁,正,NAN,NAN,ns,v,ng,d
0,2,/s,南,希,仁,正,要,NAN,ns,v,ng,d,v
1,3,南,希,仁,正,要,指,ns,v,ng,d,v,n
0,4,希,仁,正,要,指,点,v,ng,d,v,n,m
1,5,仁,正,要,指,点,他,ng,d,v,n,m,r
0,6,正,要,指,点,他,这,d,v,n,m,r,r
1,7,要,指,点,他,这,招,v,n,m,r,r,v
1,8,指,点,他,这,招,的,n,m,r,r,v,uj
0,9,点,他,这,招,的,精,m,r,r,v,uj,n
0,10,他,这,招,的,精,要,r,r,v,uj,n,v
1,11,这,招,的,精,要,所,r,v,uj,n,v,c
0,12,招,的,精,要,所,在,v,uj,n,v,c,p
1,13,的,精,要,所,在,，,uj,n,v,c,p,x
0,14,精,要,所,在,，,树,n,v,c,p,x,v
1,15,要,所,在,，,树,丛,v,c,p,x,v,nr
1,16,所,在,，,树,丛,中,c,p,x,v,nr,f
0,17,在,，,树,丛,中,突,p,x,v,nr,f,ad
1,18,，,树,丛,中,突,然,x,v,nr,f,ad,c
1,19,树,丛,中,突,然,发,v,nr,f,ad,c,v
0,20,丛,中,突,然,发,出,nr,f,ad,c,v,v
1,21,中,突,然,发,出,两,f,ad,c,v,v,m
0,22,突,然,发,出,两,下,ad,c,v,v,m,f
1,23,然,发,出,两,下,笑,c,v,v,m,f,v
0,24,发,出,两,下,笑,声,v,v,m,f,v,n
1,25,出,两,下,笑,声,，,v,m,f,v,n,x
0,26,两,下,笑,声,，,跟,m,f,v,n,x,p
1,27,下,笑,声,，,跟,着,f,v,n,x,p,uz
1,28,笑,声,，,跟,着,钻,v,n,x,p,uz,v
0,29,声,，,跟,着,钻,出,n,x,p,uz,v,v
1,30,，,跟,着,钻,出,一,x,p,uz,v,v,m
1,31,跟,着,钻,出,一,个,p,uz,v,v,m,q
1,32,着,钻,出,一,个,少,uz,v,v,m,q,a
0,33,钻,出,一,个,少,女,v,v,m,q,a,b
1,34,出,一,个,少,女,，,v,m,q,a,b,x
0,35,一,个,少,女,，,拍,m,q,a,b,x,v
1,36,个,少,女,，,拍,手,q,a,b,x,v,n
1,37,少,女,，,拍,手,而,a,b,x,v,n,c
0,38,女,，,拍,手,而,笑,b,x,v,n,c,v
1,39,，,拍,手,而,笑,，,x,v,n,c,v,x
1,40,拍,手,而,笑,，,叫,v,n,c,v,x,v
1,41,手,而,笑,，,叫,道,n,c,v,x,v,q
1,42,而,笑,，,叫,道,：,c,v,x,v,q,x
1,43,笑,，,叫,道,：,郭,v,x,v,q,x,nr
1,44,，,叫,道,：,郭,靖,x,v,q,x,nr,nr
1,45,叫,道,：,郭,靖,，,v,q,x,nr,nr,x
0,46,道,：,郭,靖,，,又,q,x,nr,nr,x,d
1,47,：,郭,靖,，,又,给,x,nr,nr,x,d,p
1,48,郭,靖,，,又,给,师,nr,nr,x,d,p,ng
1,49,靖,，,又,给,师,父,nr,x,d,p,ng,n
1,50,，,又,给,师,父,打,x,d,p,ng,n,v
0,51,又,给,师,父,打,了,d,p,ng,n,v,ul
1,52,给,师,父,打,了,吗,p,ng,n,v,ul,y
1,53,师,父,打,了,吗,？,ng,n,v,ul,y,x
1,54,父,打,了,吗,？,/s,n,v,ul,y,x,NAN
1,55,打,了,吗,？,/s,/s,v,ul,y,x,NAN,NAN
1,0,/s,/s,/s,郭,靖,胀,NAN,NAN,NAN,nr,nr,a
0,1,/s,/s,郭,靖,胀,红,NAN,NAN,nr,nr,a,a
0,2,/s,郭,靖,胀,红,了,NAN,nr,nr,a,a,ul
1,3,郭,靖,胀,红,了,脸,nr,nr,a,a,ul,n
1,4,靖,胀,红,了,脸,，,nr,a,a,ul,n,x
1,5,胀,红,了,脸,，,道,a,a,ul,n,x,q
1,6,红,了,脸,，,道,：,a,ul,n,x,q,x
1,7,了,脸,，,道,：,我,ul,n,x,q,x,r
1,8,脸,，,道,：,我,在,n,x,q,x,r,p
1,9,，,道,：,我,在,练,x,q,x,r,p,v
1,10,道,：,我,在,练,拳,q,x,r,p,v,zg
1,11,：,我,在,练,拳,，,x,r,p,v,zg,x
0,12,我,在,练,拳,，,你,r,p,v,zg,x,r
1,13,在,练,拳,，,你,别,p,v,zg,x,r,r
1,14,练,拳,，,你,别,来,v,zg,x,r,r,v
1,15,拳,，,你,别,来,啞,zg,x,r,r,v,x
0,16,，,你,别,来,啞,躔,x,r,r,v,x,g
1,17,你,别,来,啞,躔,！,r,r,v,x,g,x
1,18,别,来,啞,躔,！,/s,r,v,x,g,x,NAN
1,19,来,啞,躔,！,/s,/s,v,x,g,x,NAN,NAN
1,0,/s,/s,/s,那,少,拧,NAN,NAN,NAN,r,a,v
0,1,/s,/s,那,少,拧,酽,NAN,NAN,r,a,v,a
1,2,/s,那,少,拧,酽,道,NAN,r,a,v,a,q
1,3,那,少,拧,酽,道,：,r,a,v,a,q,x
1,4,少,拧,酽,道,：,我,a,v,a,q,x,r
1,5,拧,酽,道,：,我,就,v,a,q,x,r,d
1,6,酽,道,：,我,就,啊,a,q,x,r,d,zg
1,7,道,：,我,就,啊,跗,q,x,r,d,zg,n
1,8,：,我,就,啊,跗,你,x,r,d,zg,n,r
1,9,我,就,啊,跗,你,挨,r,d,zg,n,r,v
1,10,就,啊,跗,你,挨,打,d,zg,n,r,v,v
1,11,啊,跗,你,挨,打,！,zg,n,r,v,v,x
0,12,跗,你,挨,打,！,/s,n,r,v,v,x,NAN
1,13,你,挨,打,！,/s,/s,r,v,v,x,NAN,NAN
1,0,/s,/s,/s,　,跽,馍,NAN,NAN,NAN,x,g,n
1,1,/s,/s,　,跽,馍,倥,NAN,NAN,x,g,n,a
1,2,/s,　,跽,馍,倥,,NAN,x,g,n,a,x
1,3,　,跽,馍,倥,,闶,x,g,n,a,x,x
1,4,跽,馍,倥,,闶,翘,g,n,a,x,x,v
1,5,馍,倥,,闶,翘,,n,a,x,x,v,x
1,6,倥,,闶,翘,,菊,a,x,x,v,x,n
1,7,,闶,翘,,菊,娴,x,x,v,x,n,zg
1,8,闶,翘,,菊,娴,挠,x,v,x,n,zg,v
0,9,翘,,菊,娴,挠,着,v,x,n,zg,v,uz
1,10,,菊,娴,挠,着,,x,n,zg,v,uz,x
1,11,菊,娴,挠,着,,,n,zg,v,uz,x,x
1,12,娴,挠,着,,,荨,zg,v,uz,x,x,n
1,13,挠,着,,,荨,�,v,uz,x,x,n,x
1,14,着,,,荨,�,她,uz,x,x,n,x,r
1,15,,,荨,�,她,与,x,x,n,x,r,p
1,16,,荨,�,她,与,拖,x,n,x,r,p,v
1,17,荨,�,她,与,拖,雷,n,x,r,p,v,n
1,18,�,她,与,拖,雷,、,x,r,p,v,n,x
0,19,她,与,拖,雷,、,郭,r,p,v,n,x,nr
1,20,与,拖,雷,、,郭,靖,p,v,n,x,nr,nr
1,21,拖,雷,、,郭,靖,年,v,n,x,nr,nr,m
0,22,雷,、,郭,靖,年,纪,n,x,nr,nr,m,nr
1,23,、,郭,靖,年,纪,相,x,nr,nr,m,nr,v
0,24,郭,靖,年,纪,相,若,nr,nr,m,nr,v,c
1,25,靖,年,纪,相,若,，,nr,m,nr,v,c,x
0,26,年,纪,相,若,，,自,m,nr,v,c,x,p
1,27,纪,相,若,，,自,小,nr,v,c,x,p,a
1,28,相,若,，,自,小,一,v,c,x,p,a,m
0,29,若,，,自,小,一,起,c,x,p,a,m,v
1,30,，,自,小,一,起,玩,x,p,a,m,v,v
0,31,自,小,一,起,玩,耍,p,a,m,v,v,v
1,32,小,一,起,玩,耍,。,a,m,v,v,v,x
0,33,一,起,玩,耍,。,/s,m,v,v,v,x,NAN
1,34,起,玩,耍,。,/s,/s,v,v,v,x,NAN,NAN
1,0,/s,/s,/s,她,因,父,NAN,NAN,NAN,r,p,n
1,1,/s,/s,她,因,父,母,NAN,NAN,r,p,n,n
1,2,/s,她,因,父,母,宠,NAN,r,p,n,n,v
0,3,她,因,父,母,宠,爱,r,p,n,n,v,v
1,4,因,父,母,宠,爱,，,p,n,n,v,v,x
0,5,父,母,宠,爱,，,脾,n,n,v,v,x,n
1,6,母,宠,爱,，,脾,气,n,v,v,x,n,n
1,7,宠,爱,，,脾,气,不,v,v,x,n,n,d
0,8,爱,，,脾,气,不,免,v,x,n,n,d,v
1,9,，,脾,气,不,免,娇,x,n,n,d,v,a
1,10,脾,气,不,免,娇,纵,n,n,d,v,a,n
1,11,气,不,免,娇,纵,。,n,d,v,a,n,x
0,12,不,免,娇,纵,。,/s,d,v,a,n,x,NAN
1,13,免,娇,纵,。,/s,/s,v,a,n,x,NAN,NAN
1,0,/s,/s,/s,郭,靖,却,NAN,NAN,NAN,nr,nr,d
0,1,/s,/s,郭,靖,却,生,NAN,NAN,nr,nr,d,vn
1,2,/s,郭,靖,却,生,性,NAN,nr,nr,d,vn,n
1,3,郭,靖,却,生,性,戆,nr,nr,d,vn,n,zg
0,4,靖,却,生,性,戆,直,nr,d,vn,n,zg,d
1,5,却,生,性,戆,直,，,d,vn,n,zg,d,x
0,6,生,性,戆,直,，,当,vn,n,zg,d,x,t
1,7,性,戆,直,，,当,她,n,zg,d,x,t,r
1,8,戆,直,，,当,她,无,zg,d,x,t,r,v
1,9,直,，,当,她,无,理,d,x,t,r,v,n
1,10,，,当,她,无,理,取,x,t,r,v,n,v
0,11,当,她,无,理,取,闹,t,r,v,n,v,v
0,12,她,无,理,取,闹,时,r,v,n,v,v,n
0,13,无,理,取,闹,时,总,v,n,v,v,n,b
1,14,理,取,闹,时,总,是,n,v,v,n,b,v
1,15,取,闹,时,总,是,冲,v,v,n,b,v,v
0,16,闹,时,总,是,冲,撞,v,n,b,v,v,v
1,17,时,总,是,冲,撞,不,n,b,v,v,v,d
0,18,总,是,冲,撞,不,屈,b,v,v,v,d,nr
1,19,是,冲,撞,不,屈,，,v,v,v,d,nr,x
1,20,冲,撞,不,屈,，,但,v,v,d,nr,x,c
1,21,撞,不,屈,，,但,吵,v,d,nr,x,c,v
1,22,不,屈,，,但,吵,了,d,nr,x,c,v,ul
1,23,屈,，,但,吵,了,之,nr,x,c,v,ul,u
1,24,，,但,吵,了,之,后,x,c,v,ul,u,f
1,25,但,吵,了,之,后,，,c,v,ul,u,f,x
0,26,吵,了,之,后,，,不,v,ul,u,f,x,d
1,27,了,之,后,，,不,久,ul,u,f,x,d,a
1,28,之,后,，,不,久,便,u,f,x,d,a,d
1,29,后,，,不,久,便,言,f,x,d,a,d,vg
1,30,，,不,久,便,言,归,x,d,a,d,vg,v
1,31,不,久,便,言,归,于,d,a,d,vg,v,p
0,32,久,便,言,归,于,好,a,d,vg,v,p,a
0,33,便,言,归,于,好,，,d,vg,v,p,a,x
0,34,言,归,于,好,，,每,vg,v,p,a,x,zg
1,35,归,于,好,，,每,次,v,p,a,x,zg,q
1,36,于,好,，,每,次,总,p,a,x,zg,q,b
0,37,好,，,每,次,总,是,a,x,zg,q,b,v
1,38,，,每,次,总,是,华,x,zg,q,b,v,ns
0,39,每,次,总,是,华,筝,zg,q,b,v,ns,n
1,40,次,总,是,华,筝,自,q,b,v,ns,n,p
0,41,总,是,华,筝,自,知,b,v,ns,n,p,v
1,42,是,华,筝,自,知,理,v,ns,n,p,v,n
0,43,华,筝,自,知,理,屈,ns,n,p,v,n,nr
0,44,筝,自,知,理,屈,，,n,p,v,n,nr,x
0,45,自,知,理,屈,，,向,p,v,n,nr,x,p
1,46,知,理,屈,，,向,他,v,n,nr,x,p,r
1,47,理,屈,，,向,他,软,n,nr,x,p,r,a
1,48,屈,，,向,他,软,言,nr,x,p,r,a,vg
1,49,，,向,他,软,言,央,x,p,r,a,vg,j
0,50,向,他,软,言,央,求,p,r,a,vg,j,v
1,51,他,软,言,央,求,。,r,a,vg,j,v,x
0,52,软,言,央,求,。,/s,a,vg,j,v,x,NAN
1,53,言,央,求,。,/s,/s,vg,j,v,x,NAN,NAN
1,0,/s,/s,/s,华,筝,的,NAN,NAN,NAN,ns,n,uj
0,1,/s,/s,华,筝,的,母,NAN,NAN,ns,n,uj,n
0,2,/s,华,筝,的,母,亲,NAN,ns,n,uj,n,v
1,3,华,筝,的,母,亲,念,ns,n,uj,n,v,v
0,4,筝,的,母,亲,念,着,n,uj,n,v,v,uz
1,5,的,母,亲,念,着,郭,uj,n,v,v,uz,nr
1,6,母,亲,念,着,郭,靖,n,v,v,uz,nr,nr
1,7,亲,念,着,郭,靖,曾,v,v,uz,nr,nr,d
0,8,念,着,郭,靖,曾,舍,v,uz,nr,nr,d,v
0,9,着,郭,靖,曾,舍,生,uz,nr,nr,d,v,vn
1,10,郭,靖,曾,舍,生,在,nr,nr,d,v,vn,p
0,11,靖,曾,舍,生,在,豹,nr,d,v,vn,p,n
1,12,曾,舍,生,在,豹,口,d,v,vn,p,n,q
1,13,舍,生,在,豹,口,下,v,vn,p,n,q,f
0,14,生,在,豹,口,下,相,vn,p,n,q,f,v
1,15,在,豹,口,下,相,救,p,n,q,f,v,v
1,16,豹,口,下,相,救,女,n,q,f,v,v,b
0,17,口,下,相,救,女,儿,q,f,v,v,b,n
1,18,下,相,救,女,儿,，,f,v,v,b,n,x
0,19,相,救,女,儿,，,是,v,v,b,n,x,v
1,20,救,女,儿,，,是,以,v,b,n,x,v,p
1,21,女,儿,，,是,以,也,b,n,x,v,p,d
1,22,儿,，,是,以,也,对,n,x,v,p,d,p
1,23,，,是,以,也,对,他,x,v,p,d,p,r
1,24,是,以,也,对,他,另,v,p,d,p,r,r
1,25,以,也,对,他,另,眼,p,d,p,r,r,n
1,26,也,对,他,另,眼,相,d,p,r,r,n,v
0,27,对,他,另,眼,相,看,p,r,r,n,v,v
0,28,他,另,眼,相,看,，,r,r,n,v,v,x
0,29,另,眼,相,看,，,常,r,n,v,v,x,d
1,30,眼,相,看,，,常,常,n,v,v,x,d,d
1,31,相,看,，,常,常,送,v,v,x,d,d,v
0,32,看,，,常,常,送,他,v,x,d,d,v,r
1,33,，,常,常,送,他,母,x,d,d,v,r,n
1,34,常,常,送,他,母,子,d,d,v,r,n,ng
1,35,常,送,他,母,子,衣,d,v,r,n,ng,n
0,36,送,他,母,子,衣,物,v,r,n,ng,n,zg
1,37,他,母,子,衣,物,牲,r,n,ng,n,zg,n
0,38,母,子,衣,物,牲,口,n,ng,n,zg,n,q
1,39,子,衣,物,牲,口,。,ng,n,zg,n,q,x
0,40,衣,物,牲,口,。,/s,n,zg,n,q,x,NAN
1,41,物,牲,口,。,/s,/s,zg,n,q,x,NAN,NAN
1,0,/s,/s,/s,郭,靖,道,NAN,NAN,NAN,nr,nr,q
0,1,/s,/s,郭,靖,道,：,NAN,NAN,nr,nr,q,x
0,2,/s,郭,靖,道,：,我,NAN,nr,nr,q,x,r
1,3,郭,靖,道,：,我,在,nr,nr,q,x,r,p
1,4,靖,道,：,我,在,跟,nr,q,x,r,p,p
1,5,道,：,我,在,跟,师,q,x,r,p,p,ng
1,6,：,我,在,跟,师,父,x,r,p,p,ng,n
1,7,我,在,跟,师,父,拆,r,p,p,ng,n,v
0,8,在,跟,师,父,拆,招,p,p,ng,n,v,v
1,9,跟,师,父,拆,招,，,p,ng,n,v,v,x
0,10,师,父,拆,招,，,你,ng,n,v,v,x,r
1,11,父,拆,招,，,你,走,n,v,v,x,r,v
1,12,拆,招,，,你,走,开,v,v,x,r,v,v
1,13,招,，,你,走,开,吧,v,x,r,v,v,y
0,14,，,你,走,开,吧,！,x,r,v,v,y,x
1,15,你,走,开,吧,！,/s,r,v,v,y,x,NAN
1,16,走,开,吧,！,/s,/s,v,v,y,x,NAN,NAN
1,0,/s,/s,/s,华,筝,笑,NAN,NAN,NAN,ns,n,v
0,1,/s,/s,华,筝,笑,道,NAN,NAN,ns,n,v,q
0,2,/s,华,筝,笑,道,：,NAN,ns,n,v,q,x
1,3,华,筝,笑,道,：,甚,ns,n,v,q,x,zg
1,4,筝,笑,道,：,甚,么,n,v,q,x,zg,y
1,5,笑,道,：,甚,么,拆,v,q,x,zg,y,v
0,6,道,：,甚,么,拆,招,q,x,zg,y,v,v
1,7,：,甚,么,拆,招,？,x,zg,y,v,v,x
0,8,甚,么,拆,招,？,/s,zg,y,v,v,x,NAN
1,9,么,拆,招,？,/s,/s,y,v,v,x,NAN,NAN
1,0,/s,/s,/s,是,挨,揍,NAN,NAN,NAN,v,v,v
1,1,/s,/s,是,挨,揍,！,NAN,NAN,v,v,v,x
0,2,/s,是,挨,揍,！,/s,NAN,v,v,v,x,NAN
1,3,是,挨,揍,！,/s,/s,v,v,v,x,NAN,NAN
1,0,/s,/s,/s,说,话,之,NAN,NAN,NAN,v,n,u
0,1,/s,/s,说,话,之,间,NAN,NAN,v,n,u,f
1,2,/s,说,话,之,间,，,NAN,v,n,u,f,x
0,3,说,话,之,间,，,忽,v,n,u,f,x,d
1,4,话,之,间,，,忽,有,n,u,f,x,d,v
1,5,之,间,，,忽,有,数,u,f,x,d,v,n
0,6,间,，,忽,有,数,名,f,x,d,v,n,q
1,7,，,忽,有,数,名,蒙,x,d,v,n,q,v
0,8,忽,有,数,名,蒙,古,d,v,n,q,v,a
1,9,有,数,名,蒙,古,军,v,n,q,v,a,n
0,10,数,名,蒙,古,军,士,n,q,v,a,n,n
1,11,名,蒙,古,军,士,骑,q,v,a,n,n,v
0,12,蒙,古,军,士,骑,马,v,a,n,n,v,n
1,13,古,军,士,骑,马,驰,a,n,n,v,n,vg
0,14,军,士,骑,马,驰,来,n,n,v,n,vg,v
1,15,士,骑,马,驰,来,，,n,v,n,vg,v,x
0,16,骑,马,驰,来,，,当,v,n,vg,v,x,t
1,17,马,驰,来,，,当,先,n,vg,v,x,t,d
1,18,驰,来,，,当,先,一,vg,v,x,t,d,m
0,19,来,，,当,先,一,名,v,x,t,d,m,q
1,20,，,当,先,一,名,十,x,t,d,m,q,m
0,21,当,先,一,名,十,夫,t,d,m,q,m,n
1,22,先,一,名,十,夫,长,d,m,q,m,n,a
0,23,一,名,十,夫,长,驰,m,q,m,n,a,vg
0,24,名,十,夫,长,驰,近,q,m,n,a,vg,a
1,25,十,夫,长,驰,近,时,m,n,a,vg,a,n
0,26,夫,长,驰,近,时,翻,n,a,vg,a,n,v
1,27,长,驰,近,时,翻,身,a,vg,a,n,v,ng
1,28,驰,近,时,翻,身,下,vg,a,n,v,ng,f
0,29,近,时,翻,身,下,马,a,n,v,ng,f,n
1,30,时,翻,身,下,马,，,n,v,ng,f,n,x
0,31,翻,身,下,马,，,向,v,ng,f,n,x,p
1,32,身,下,马,，,向,华,ng,f,n,x,p,ns
1,33,下,马,，,向,华,筝,f,n,x,p,ns,n
1,34,马,，,向,华,筝,微,n,x,p,ns,n,n
0,35,，,向,华,筝,微,微,x,p,ns,n,n,n
1,36,向,华,筝,微,微,躬,p,ns,n,n,n,v
0,37,华,筝,微,微,躬,身,ns,n,n,n,v,ng
1,38,筝,微,微,躬,身,，,n,n,n,v,ng,x
0,39,微,微,躬,身,，,说,n,n,v,ng,x,v
1,40,微,躬,身,，,说,道,n,v,ng,x,v,q
1,41,躬,身,，,说,道,：,v,ng,x,v,q,x
0,42,身,，,说,道,：,华,ng,x,v,q,x,ns
1,43,，,说,道,：,华,筝,x,v,q,x,ns,n
1,44,说,道,：,华,筝,，,v,q,x,ns,n,x
0,45,道,：,华,筝,，,大,q,x,ns,n,x,a
1,46,：,华,筝,，,大,汗,x,ns,n,x,a,zg
1,47,华,筝,，,大,汗,叫,ns,n,x,a,zg,v
0,48,筝,，,大,汗,叫,你,n,x,a,zg,v,r
1,49,，,大,汗,叫,你,去,x,a,zg,v,r,v
1,50,大,汗,叫,你,去,。,a,zg,v,r,v,x
1,51,汗,叫,你,去,。,/s,zg,v,r,v,x,NAN
1,52,叫,你,去,。,/s,/s,v,r,v,x,NAN,NAN
1,0,/s,/s,/s,其,时,蒙,NAN,NAN,NAN,r,n,v
