Label,No,B2,B1,F1,F2,POSB2,POSB1,POSF1,POSF2
1,2,再,说,，,你,d,v,x,r
1,3,说,，,你,六,v,x,r,m
1,4,，,你,六,位,x,r,m,q
0,5,你,六,位,师,r,m,q,ng
1,6,六,位,师,父,m,q,ng,n
0,7,位,师,父,的,q,ng,n,uj
0,8,师,父,的,本,ng,n,uj,r
1,9,父,的,本,事,n,uj,r,n
0,10,的,本,事,，,uj,r,n,x
1,11,本,事,，,也,r,n,x,d
1,12,事,，,也,并,n,x,d,c
1,13,，,也,并,不,x,d,c,d
1,14,也,并,不,在,d,c,d,p
1,15,并,不,在,我,c,d,p,r
1,16,不,在,我,之,d,p,r,u
1,17,在,我,之,下,p,r,u,f
0,18,我,之,下,，,r,u,f,x
1,19,之,下,，,因,u,f,x,p
1,20,下,，,因,此,f,x,p,zg
0,21,，,因,此,武,x,p,zg,n
1,22,因,此,武,功,p,zg,n,n
0,23,此,武,功,我,zg,n,n,r
1,24,武,功,我,是,n,n,r,v
1,25,功,我,是,不,n,r,v,d
1,26,我,是,不,能,r,v,d,v
1,27,是,不,能,传,v,d,v,n
1,28,不,能,传,你,d,v,n,r
1,29,能,传,你,的,v,n,r,uj
0,30,传,你,的,。,n,r,uj,x
1,31,你,的,。,/s,r,uj,x,NAN
1,0,/s,/s,郭,靖,NAN,NAN,nr,nr
0,1,/s,郭,靖,应,NAN,nr,nr,v
1,2,郭,靖,应,道,nr,nr,v,q
0,3,靖,应,道,：,nr,v,q,x
1,4,应,道,：,是,v,q,x,v
1,5,道,：,是,。,q,x,v,x
1,6,：,是,。,/s,x,v,x,NAN
1,0,/s,/s,心,道,NAN,NAN,n,q
0,1,/s,心,道,：,NAN,n,q,x
1,2,心,道,：,那,n,q,x,r
1,3,道,：,那,也,q,x,r,d
1,4,：,那,也,不,x,r,d,d
1,5,那,也,不,错,r,d,d,v
1,6,也,不,错,。,d,d,v,x
1,7,不,错,。,/s,d,v,x,NAN
1,0,/s,/s,我,六,NAN,NAN,r,m
1,1,/s,我,六,个,NAN,r,m,q
0,2,我,六,个,师,r,m,q,ng
1,3,六,个,师,父,m,q,ng,n
0,4,个,师,父,武,q,ng,n,n
1,5,师,父,武,功,ng,n,n,n
0,6,父,武,功,很,n,n,n,zg
1,7,武,功,很,高,n,n,zg,a
1,8,功,很,高,，,n,zg,a,x
1,9,很,高,，,本,zg,a,x,r
1,10,高,，,本,来,a,x,r,v
0,11,，,本,来,是,x,r,v,v
1,12,本,来,是,我,r,v,v,r
1,13,来,是,我,自,v,v,r,p
1,14,是,我,自,己,v,r,p,r
0,15,我,自,己,太,r,p,r,d
1,16,自,己,太,蠢,p,r,d,a
0,17,己,太,蠢,。,r,d,a,x
1,18,太,蠢,。,/s,d,a,x,NAN
1,0,/s,/s,那,道,NAN,NAN,r,q
0,1,/s,那,道,士,NAN,r,q,n
0,2,那,道,士,又,r,q,n,d
1,3,道,士,又,道,q,n,d,q
1,4,士,又,道,：,n,d,q,x
1,5,又,道,：,你,d,q,x,r
1,6,道,：,你,的,q,x,r,uj
0,7,：,你,的,七,x,r,uj,m
1,8,你,的,七,位,r,uj,m,q
0,9,的,七,位,恩,uj,m,q,nr
1,10,七,位,恩,师,m,q,nr,ng
0,11,位,恩,师,曾,q,nr,ng,d
1,12,恩,师,曾,与,nr,ng,d,p
1,13,师,曾,与,人,ng,d,p,n
1,14,曾,与,人,家,d,p,n,q
0,15,与,人,家,打,p,n,q,v
1,16,人,家,打,赌,n,q,v,zg
0,17,家,打,赌,。,q,v,zg,x
1,18,打,赌,。,/s,v,zg,x,NAN
1,0,/s,/s,要,是,NAN,NAN,v,v
0,1,/s,要,是,我,NAN,v,v,r
1,2,要,是,我,传,v,v,r,n
0,3,是,我,传,你,v,r,n,r
1,4,我,传,你,武,r,n,r,n
1,5,传,你,武,功,n,r,n,n
0,6,你,武,功,，,r,n,n,x
1,7,武,功,，,你,n,n,x,r
1,8,功,，,你,师,n,x,r,ng
1,9,，,你,师,父,x,r,ng,n
0,10,你,师,父,们,r,ng,n,k
1,11,师,父,们,知,ng,n,k,v
1,12,父,们,知,道,n,k,v,q
0,13,们,知,道,之,k,v,q,u
1,14,知,道,之,后,v,q,u,f
0,15,道,之,后,必,q,u,f,d
1,16,之,后,必,定,u,f,d,v
0,17,后,必,定,不,f,d,v,d
1,18,必,定,不,快,d,v,d,a
1,19,定,不,快,。,v,d,a,x
1,20,不,快,。,/s,d,a,x,NAN
1,0,/s,/s,他,们,NAN,NAN,r,k
0,1,/s,他,们,是,NAN,r,k,v
1,2,他,们,是,极,r,k,v,d
1,3,们,是,极,重,k,v,d,a
0,4,是,极,重,信,v,d,a,n
1,5,极,重,信,义,d,a,n,ng
0,6,重,信,义,的,a,n,ng,uj
0,7,信,义,的,好,n,ng,uj,a
1,8,义,的,好,汉,ng,uj,a,j
1,9,的,好,汉,子,uj,a,j,ng
0,10,好,汉,子,，,a,j,ng,x
1,11,汉,子,，,与,j,ng,x,p
1,12,子,，,与,人,ng,x,p,n
1,13,，,与,人,赌,x,p,n,zg
1,14,与,人,赌,赛,p,n,zg,nz
0,15,人,赌,赛,岂,n,zg,nz,d
1,16,赌,赛,岂,能,zg,nz,d,v
0,17,赛,岂,能,占,nz,d,v,v
1,18,岂,能,占,人,d,v,v,n
0,19,能,占,人,便,v,v,n,d
1,20,占,人,便,宜,v,n,d,vg
0,21,人,便,宜,？,n,d,vg,x
1,22,便,宜,？,/s,d,vg,x,NAN
1,0,/s,/s,郭,靖,NAN,NAN,nr,nr
0,1,/s,郭,靖,道,NAN,nr,nr,q
0,2,郭,靖,道,：,nr,nr,q,x
1,3,靖,道,：,赌,nr,q,x,zg
1,4,道,：,赌,赛,q,x,zg,nz
0,5,：,赌,赛,甚,x,zg,nz,zg
1,6,赌,赛,甚,么,zg,nz,zg,y
0,7,赛,甚,么,？,nz,zg,y,x
1,8,甚,么,？,/s,zg,y,x,NAN
1,0,/s,/s,那,道,NAN,NAN,r,q
0,1,/s,那,道,人,NAN,r,q,n
0,2,那,道,人,道,r,q,n,q
1,3,道,人,道,：,q,n,q,x
1,4,人,道,：,原,n,q,x,n
1,5,道,：,原,来,q,x,n,v
0,6,：,原,来,你,x,n,v,r
1,7,原,来,你,不,n,v,r,d
1,8,来,你,不,知,v,r,d,v
1,9,你,不,知,道,r,d,v,q
0,10,不,知,道,。,d,v,q,x
1,11,知,道,。,/s,v,q,x,NAN
1,0,/s,/s,嗯,，,NAN,NAN,e,x
1,1,/s,嗯,，,你,NAN,e,x,r
1,2,嗯,，,你,六,e,x,r,m
1,3,，,你,六,位,x,r,m,q
0,4,你,六,位,师,r,m,q,ng
1,5,六,位,师,父,m,q,ng,n
0,6,位,师,父,既,q,ng,n,c
1,7,师,父,既,然,ng,n,c,c
0,8,父,既,然,尚,n,c,c,d
1,9,既,然,尚,未,c,c,d,d
0,10,然,尚,未,与,c,d,d,p
1,11,尚,未,与,你,d,d,p,r
1,12,未,与,你,说,d,p,r,v
1,13,与,你,说,知,p,r,v,v
1,14,你,说,知,。,r,v,v,x
1,15,说,知,。,/s,v,v,x,NAN
1,0,/s,/s,你,现,NAN,NAN,r,tg
1,1,/s,你,现,今,NAN,r,tg,zg
0,2,你,现,今,也,r,tg,zg,d
1,3,现,今,也,不,tg,zg,d,d
1,4,今,也,不,必,zg,d,d,d
1,5,也,不,必,问,d,d,d,n
1,6,不,必,问,。,d,d,n,x
1,7,必,问,。,/s,d,n,x,NAN
1,0,/s,/s,两,年,NAN,NAN,m,m
0,1,/s,两,年,之,NAN,m,m,u
1,2,两,年,之,内,m,m,u,n
0,3,年,之,内,，,m,u,n,x
1,4,之,内,，,他,u,n,x,r
1,5,内,，,他,们,n,x,r,k
0,6,，,他,们,必,x,r,k,d
1,7,他,们,必,会,r,k,d,v
0,8,们,必,会,和,k,d,v,c
1,9,必,会,和,你,d,v,c,r
1,10,会,和,你,细,v,c,r,a
1,11,和,你,细,说,c,r,a,v
0,12,你,细,说,。,r,a,v,x
1,13,细,说,。,/s,a,v,x,NAN
1,0,/s,/s,这,样,NAN,NAN,r,n
0,1,/s,这,样,吧,NAN,r,n,y
1,2,这,样,吧,，,r,n,y,x
1,3,样,吧,，,你,n,y,x,r
1,4,吧,，,你,一,y,x,r,m
1,5,，,你,一,番,x,r,m,q
0,6,你,一,番,诚,r,m,q,a
1,7,一,番,诚,心,m,q,a,n
0,8,番,诚,心,，,q,a,n,x
1,9,诚,心,，,总,a,n,x,b
1,10,心,，,总,算,n,x,b,v
0,11,，,总,算,你,x,b,v,r
1,12,总,算,你,我,b,v,r,r
1,13,算,你,我,有,v,r,r,v
1,14,你,我,有,缘,r,r,v,n
0,15,我,有,缘,，,r,v,n,x
1,16,有,缘,，,我,v,n,x,r
1,17,缘,，,我,就,n,x,r,d
1,18,，,我,就,传,x,r,d,n
1,19,我,就,传,你,r,d,n,r
1,20,就,传,你,一,d,n,r,m
1,21,传,你,一,些,n,r,m,q
0,22,你,一,些,呼,r,m,q,zg
1,23,一,些,呼,吸,m,q,zg,v
0,24,些,呼,吸,、,q,zg,v,x
1,25,呼,吸,、,坐,zg,v,x,v
1,26,吸,、,坐,下,v,x,v,f
0,27,、,坐,下,、,x,v,f,x
1,28,坐,下,、,行,v,f,x,zg
1,29,下,、,行,路,f,x,zg,n
0,30,、,行,路,、,x,zg,n,x
1,31,行,路,、,睡,zg,n,x,v
1,32,路,、,睡,觉,n,x,v,v
0,33,、,睡,觉,的,x,v,v,uj
0,34,睡,觉,的,法,v,v,uj,j
1,35,觉,的,法,子,v,uj,j,ng
0,36,的,法,子,。,uj,j,ng,x
1,37,法,子,。,/s,j,ng,x,NAN
1,0,/s,/s,郭,靖,NAN,NAN,nr,nr
0,1,/s,郭,靖,大,NAN,nr,nr,a
0,2,郭,靖,大,奇,nr,nr,a,ag
1,3,靖,大,奇,，,nr,a,ag,x
1,4,大,奇,，,心,a,ag,x,n
1,5,奇,，,心,想,ag,x,n,v
0,6,，,心,想,：,x,n,v,x
1,7,心,想,：,呼,n,v,x,zg
1,8,想,：,呼,吸,v,x,zg,v
0,9,：,呼,吸,、,x,zg,v,x
1,10,呼,吸,、,坐,zg,v,x,v
1,11,吸,、,坐,下,v,x,v,f
0,12,、,坐,下,、,x,v,f,x
1,13,坐,下,、,行,v,f,x,zg
1,14,下,、,行,路,f,x,zg,n
0,15,、,行,路,、,x,zg,n,x
1,16,行,路,、,睡,zg,n,x,v
1,17,路,、,睡,觉,n,x,v,v
0,18,、,睡,觉,，,x,v,v,x
1,19,睡,觉,，,我,v,v,x,r
1,20,觉,，,我,早,v,x,r,a
1,21,，,我,早,就,x,r,a,d
0,22,我,早,就,会,r,a,d,v
1,23,早,就,会,了,a,d,v,ul
1,24,就,会,了,，,d,v,ul,x
1,25,会,了,，,何,v,ul,x,r
1,26,了,，,何,必,ul,x,r,d
0,27,，,何,必,要,x,r,d,v
1,28,何,必,要,你,r,d,v,r
1,29,必,要,你,教,d,v,r,v
1,30,要,你,教,我,v,r,v,r
1,31,你,教,我,？,r,v,r,x
1,32,教,我,？,/s,v,r,x,NAN
1,0,/s,/s,他,暗,NAN,NAN,r,d
1,1,/s,他,暗,自,NAN,r,d,p
0,2,他,暗,自,怀,r,d,p,v
1,3,暗,自,怀,疑,d,p,v,vg
0,4,自,怀,疑,，,p,v,vg,x
1,5,怀,疑,，,口,v,vg,x,q
1,6,疑,，,口,中,vg,x,q,f
0,7,，,口,中,却,x,q,f,d
1,8,口,中,却,是,q,f,d,v
0,9,中,却,是,不,f,d,v,d
1,10,却,是,不,说,d,v,d,v
1,11,是,不,说,。,v,d,v,x
1,12,不,说,。,/s,d,v,x,NAN
1,0,/s,/s,那,道,NAN,NAN,r,q
0,1,/s,那,道,人,NAN,r,q,n
0,2,那,道,人,道,r,q,n,q
1,3,道,人,道,：,q,n,q,x
1,4,人,道,：,你,n,q,x,r
1,5,道,：,你,把,q,x,r,p
1,6,：,你,把,那,x,r,p,r
1,7,你,把,那,块,r,p,r,zg
0,8,把,那,块,大,p,r,zg,a
1,9,那,块,大,石,r,zg,a,n
0,10,块,大,石,上,zg,a,n,f
1,11,大,石,上,的,a,n,f,uj
0,12,石,上,的,积,n,f,uj,v
1,13,上,的,积,雪,f,uj,v,n
0,14,的,积,雪,除,uj,v,n,p
1,15,积,雪,除,掉,v,n,p,zg
0,16,雪,除,掉,，,n,p,zg,x
1,17,除,掉,，,就,p,zg,x,d
1,18,掉,，,就,在,zg,x,d,p
1,19,，,就,在,上,x,d,p,f
1,20,就,在,上,面,d,p,f,n
0,21,在,上,面,睡,p,f,n,v
1,22,上,面,睡,吧,f,n,v,y
1,23,面,睡,吧,。,n,v,y,x
1,24,睡,吧,。,/s,v,y,x,NAN
1,0,/s,/s,郭,靖,NAN,NAN,nr,nr
0,1,/s,郭,靖,更,NAN,nr,nr,d
1,2,郭,靖,更,是,nr,nr,d,v
0,3,靖,更,是,奇,nr,d,v,ag
1,4,更,是,奇,怪,d,v,ag,v
0,5,是,奇,怪,。,v,ag,v,x
1,6,奇,怪,。,/s,ag,v,x,NAN
1,0,/s,/s,依,言,NAN,NAN,d,vg
0,1,/s,依,言,拨,NAN,d,vg,v
1,2,依,言,拨,去,d,vg,v,v
1,3,言,拨,去,积,vg,v,v,v
1,4,拨,去,积,雪,v,v,v,n
0,5,去,积,雪,，,v,v,n,x
1,6,积,雪,，,横,v,n,x,v
1,7,雪,，,横,卧,n,x,v,v
0,8,，,横,卧,在,x,v,v,p
1,9,横,卧,在,大,v,v,p,a
1,10,卧,在,大,石,v,p,a,n
0,11,在,大,石,之,p,a,n,u
1,12,大,石,之,上,a,n,u,f
0,13,石,之,上,。,n,u,f,x
1,14,之,上,。,/s,u,f,x,NAN
1,0,/s,/s,那,道,NAN,NAN,r,q
0,1,/s,那,道,人,NAN,r,q,n
0,2,那,道,人,道,r,q,n,q
1,3,道,人,道,：,q,n,q,x
1,4,人,道,：,这,n,q,x,r
1,5,道,：,这,样,q,x,r,n
0,6,：,这,样,睡,x,r,n,v
1,7,这,样,睡,觉,r,n,v,v
0,8,样,睡,觉,，,n,v,v,x
1,9,睡,觉,，,何,v,v,x,r
1,10,觉,，,何,必,v,x,r,d
0,11,，,何,必,要,x,r,d,v
1,12,何,必,要,我,r,d,v,r
1,13,必,要,我,教,d,v,r,v
1,14,要,我,教,你,v,r,v,r
1,15,我,教,你,？,r,v,r,x
1,16,教,你,？,/s,v,r,x,NAN
1,0,/s,/s,我,有,NAN,NAN,r,v
1,1,/s,我,有,四,NAN,r,v,m
1,2,我,有,四,句,r,v,m,q
0,3,有,四,句,话,v,m,q,n
1,4,四,句,话,，,m,q,n,x
1,5,句,话,，,你,q,n,x,r
1,6,话,，,你,要,n,x,r,v
1,7,，,你,要,牢,x,r,v,a
1,8,你,要,牢,牢,r,v,a,a
0,9,要,牢,牢,记,v,a,a,n
1,10,牢,牢,记,住,a,a,n,v
0,11,牢,记,住,：,a,n,v,x
1,12,记,住,：,思,n,v,x,n
1,13,住,：,思,定,v,x,n,v
1,14,：,思,定,则,x,n,v,d
0,15,思,定,则,情,n,v,d,n
1,16,定,则,情,忘,v,d,n,v
0,17,则,情,忘,，,d,n,v,x
1,18,情,忘,，,体,n,v,x,n
1,19,忘,，,体,虚,v,x,n,d
0,20,，,体,虚,则,x,n,d,d
1,21,体,虚,则,气,n,d,d,n
1,22,虚,则,气,运,d,d,n,n
0,23,则,气,运,，,d,n,n,x
1,24,气,运,，,心,n,n,x,n
1,25,运,，,心,死,n,x,n,v
0,26,，,心,死,则,x,n,v,d
1,27,心,死,则,神,n,v,d,n
1,28,死,则,神,活,v,d,n,vn
0,29,则,神,活,，,d,n,vn,x
1,30,神,活,，,阳,n,vn,x,nr
1,31,活,，,阳,盛,vn,x,nr,v
0,32,，,阳,盛,则,x,nr,v,d
0,33,阳,盛,则,阴,nr,v,d,a
1,34,盛,则,阴,消,v,d,a,v
0,35,则,阴,消,。,d,a,v,x
1,36,阴,消,。,/s,a,v,x,NAN
1,0,/s,/s,郭,靖,NAN,NAN,nr,nr
0,1,/s,郭,靖,念,NAN,nr,nr,v
0,2,郭,靖,念,了,nr,nr,v,ul
1,3,靖,念,了,几,nr,v,ul,m
1,4,念,了,几,遍,v,ul,m,v
0,5,了,几,遍,，,ul,m,v,x
1,6,几,遍,，,记,m,v,x,n
1,7,遍,，,记,在,v,x,n,p
0,8,，,记,在,心,x,n,p,n
1,9,记,在,心,中,n,p,n,f
0,10,在,心,中,，,p,n,f,x
1,11,心,中,，,但,n,f,x,c
1,12,中,，,但,不,f,x,c,d
1,13,，,但,不,知,x,c,d,v
1,14,但,不,知,是,c,d,v,v
1,15,不,知,是,甚,d,v,v,zg
1,16,知,是,甚,么,v,v,zg,y
0,17,是,甚,么,意,v,zg,y,n
1,18,甚,么,意,思,zg,y,n,n
0,19,么,意,思,。,y,n,n,x
1,20,意,思,。,/s,n,n,x,NAN
1,0,/s,/s,那,道,NAN,NAN,r,q
0,1,/s,那,道,人,NAN,r,q,n
0,2,那,道,人,道,r,q,n,q
1,3,道,人,道,：,q,n,q,x
1,4,人,道,：,睡,n,q,x,v
1,5,道,：,睡,觉,q,x,v,v
0,6,：,睡,觉,之,x,v,v,u
1,7,睡,觉,之,前,v,v,u,f
0,8,觉,之,前,，,v,u,f,x
1,9,之,前,，,必,u,f,x,d
1,10,前,，,必,须,f,x,d,d
0,11,，,必,须,脑,x,d,d,n
1,12,必,须,脑,中,d,d,n,f
0,13,须,脑,中,空,d,n,f,n
1,14,脑,中,空,明,n,f,n,a
0,15,中,空,明,澄,f,n,a,ns
1,16,空,明,澄,澈,n,a,ns,g
0,17,明,澄,澈,，,a,ns,g,x
1,18,澄,澈,，,没,ns,g,x,v
1,19,澈,，,没,一,g,x,v,m
1,20,，,没,一,丝,x,v,m,m
0,21,没,一,丝,思,v,m,m,n
1,22,一,丝,思,虑,m,m,n,vg
0,23,丝,思,虑,。,m,n,vg,x
1,24,思,虑,。,/s,n,vg,x,NAN
1,0,/s,/s,然,后,NAN,NAN,c,f
0,1,/s,然,后,敛,NAN,c,f,zg
1,2,然,后,敛,身,c,f,zg,ng
0,3,后,敛,身,侧,f,zg,ng,v
1,4,敛,身,侧,卧,zg,ng,v,v
0,5,身,侧,卧,，,ng,v,v,x
1,6,侧,卧,，,鼻,v,v,x,n
1,7,卧,，,鼻,息,v,x,n,zg
0,8,，,鼻,息,绵,x,n,zg,ns
1,9,鼻,息,绵,绵,n,zg,ns,ns
0,10,息,绵,绵,，,zg,ns,ns,x
1,11,绵,绵,，,魂,ns,ns,x,n
1,12,绵,，,魂,不,ns,x,n,d
1,13,，,魂,不,内,x,n,d,n
1,14,魂,不,内,荡,n,d,n,v
0,15,不,内,荡,，,d,n,v,x
1,16,内,荡,，,神,n,v,x,n
1,17,荡,，,神,不,v,x,n,d
0,18,，,神,不,外,x,n,d,f
1,19,神,不,外,游,n,d,f,v
1,20,不,外,游,。,d,f,v,x
1,21,外,游,。,/s,f,v,x,NAN
1,0,/s,/s,当,下,NAN,NAN,t,f
0,1,/s,当,下,传,NAN,t,f,n
1,2,当,下,传,授,t,f,n,vg
0,3,下,传,授,了,f,n,vg,ul
1,4,传,授,了,呼,n,vg,ul,zg
1,5,授,了,呼,吸,vg,ul,zg,v
0,6,了,呼,吸,运,ul,zg,v,n
1,7,呼,吸,运,气,zg,v,n,n
0,8,吸,运,气,之,v,n,n,u
1,9,运,气,之,法,n,n,u,j
1,10,气,之,法,、,n,u,j,x
1,11,之,法,、,静,u,j,x,nr
1,12,法,、,静,坐,j,x,nr,v
0,13,、,静,坐,敛,x,nr,v,zg
1,14,静,坐,敛,虑,nr,v,zg,vg
0,15,坐,敛,虑,之,v,zg,vg,u
1,16,敛,虑,之,术,zg,vg,u,v
0,17,虑,之,术,。,vg,u,v,x
1,18,之,术,。,/s,u,v,x,NAN
1,0,/s,/s,郭,靖,NAN,NAN,nr,nr
0,1,/s,郭,靖,依,NAN,nr,nr,d
0,2,郭,靖,依,言,nr,nr,d,vg
1,3,靖,依,言,试,nr,d,vg,v
1,4,依,言,试,行,d,vg,v,zg
0,5,言,试,行,，,vg,v,zg,x
1,6,试,行,，,起,v,zg,x,v
1,7,行,，,起,初,zg,x,v,f
0,8,，,起,初,思,x,v,f,n
1,9,起,初,思,潮,v,f,n,n
0,10,初,思,潮,起,f,n,n,v
0,11,思,潮,起,伏,n,n,v,v
0,12,潮,起,伏,，,n,v,v,x
1,13,起,伏,，,难,v,v,x,a
1,14,伏,，,难,以,v,x,a,p
0,15,，,难,以,归,x,a,p,v
1,16,难,以,归,摄,a,p,v,vg
0,17,以,归,摄,，,p,v,vg,x
1,18,归,摄,，,但,v,vg,x,c
1,19,摄,，,但,依,vg,x,c,d
1,20,，,但,依,着,x,c,d,uz
0,21,但,依,着,那,c,d,uz,r
1,22,依,着,那,道,d,uz,r,q
0,23,着,那,道,人,uz,r,q,n
0,24,那,道,人,所,r,q,n,c
1,25,道,人,所,授,q,n,c,vg
0,26,人,所,授,缓,n,c,vg,v
1,27,所,授,缓,吐,c,vg,v,v
0,28,授,缓,吐,深,vg,v,v,a
1,29,缓,吐,深,纳,v,v,a,nr
0,30,吐,深,纳,的,v,a,nr,uj
0,31,深,纳,的,呼,a,nr,uj,zg
1,32,纳,的,呼,吸,nr,uj,zg,v
0,33,的,呼,吸,方,uj,zg,v,n
1,34,呼,吸,方,法,zg,v,n,j
0,35,吸,方,法,做,v,n,j,v
1,36,方,法,做,去,n,j,v,v
1,37,法,做,去,，,j,v,v,x
1,38,做,去,，,良,v,v,x,a
1,39,去,，,良,久,v,x,a,a
0,40,，,良,久,良,x,a,a,a
0,41,良,久,良,久,a,a,a,a
0,42,久,良,久,，,a,a,a,x
1,43,良,久,，,渐,a,a,x,d
1,44,久,，,渐,感,a,x,d,v
0,45,，,渐,感,心,x,d,v,n
1,46,渐,感,心,定,d,v,n,v
0,47,感,心,定,，,v,n,v,x
1,48,心,定,，,丹,n,v,x,ns
1,49,定,，,丹,田,v,x,ns,n
0,50,，,丹,田,中,x,ns,n,f
1,51,丹,田,中,却,ns,n,f,d
1,52,田,中,却,有,n,f,d,v
1,53,中,却,有,一,f,d,v,m
1,54,却,有,一,股,d,v,m,q
0,55,有,一,股,气,v,m,q,n
1,56,一,股,气,渐,m,q,n,d
1,57,股,气,渐,渐,q,n,d,d
0,58,气,渐,渐,暖,n,d,d,a
1,59,渐,渐,暖,将,d,d,a,d
1,60,渐,暖,将,上,d,a,d,f
1,61,暖,将,上,来,a,d,f,v
0,62,将,上,来,，,d,f,v,x
1,63,上,来,，,崖,f,v,x,ng
1,64,来,，,崖,顶,v,x,ng,v
0,65,，,崖,顶,上,x,ng,v,f
1,66,崖,顶,上,寒,ng,v,f,n
1,67,顶,上,寒,风,v,f,n,n
0,68,上,寒,风,刺,f,n,n,v
0,69,寒,风,刺,骨,n,n,v,n
0,70,风,刺,骨,，,n,v,n,x
1,71,刺,骨,，,却,v,n,x,d
1,72,骨,，,却,也,n,x,d,d
1,73,，,却,也,不,x,d,d,d
1,74,却,也,不,觉,d,d,d,v
1,75,也,不,觉,如,d,d,v,v
1,76,不,觉,如,何,d,v,v,r
0,77,觉,如,何,难,v,v,r,a
1,78,如,何,难,以,v,r,a,p
0,79,何,难,以,抵,r,a,p,zg
1,80,难,以,抵,挡,a,p,zg,zg
0,81,以,抵,挡,。,p,zg,zg,x
1,82,抵,挡,。,/s,zg,zg,x,NAN
1,0,/s,/s,这,般,NAN,NAN,r,u
0,1,/s,这,般,静,NAN,r,u,nr
1,2,这,般,静,卧,r,u,nr,v
0,3,般,静,卧,了,u,nr,v,ul
1,4,静,卧,了,一,nr,v,ul,m
1,5,卧,了,一,个,v,ul,m,q
0,6,了,一,个,时,ul,m,q,n
1,7,一,个,时,辰,m,q,n,ng
0,8,个,时,辰,，,q,n,ng,x
1,9,时,辰,，,手,n,ng,x,n
1,10,辰,，,手,足,ng,x,n,a
0,11,，,手,足,忽,x,n,a,d
1,12,手,足,忽,感,n,a,d,v
0,13,足,忽,感,酸,a,d,v,n
1,14,忽,感,酸,麻,d,v,n,nr
0,15,感,酸,麻,，,v,n,nr,x
1,16,酸,麻,，,那,n,nr,x,r
1,17,麻,，,那,道,nr,x,r,q
0,18,，,那,道,人,x,r,q,n
0,19,那,道,人,坐,r,q,n,v
1,20,道,人,坐,在,q,n,v,p
0,21,人,坐,在,他,n,v,p,r
1,22,坐,在,他,对,v,p,r,p
1,23,在,他,对,面,p,r,p,n
0,24,他,对,面,打,r,p,n,v
1,25,对,面,打,坐,p,n,v,v
0,26,面,打,坐,，,n,v,v,x
1,27,打,坐,，,睁,v,v,x,v
1,28,坐,，,睁,开,v,x,v,v
0,29,，,睁,开,眼,x,v,v,n
0,30,睁,开,眼,道,v,v,n,q
1,31,开,眼,道,：,v,n,q,x
1,32,眼,道,：,现,n,q,x,tg
1,33,道,：,现,下,q,x,tg,f
1,34,：,现,下,可,x,tg,f,v
1,35,现,下,可,以,tg,f,v,p
0,36,下,可,以,睡,f,v,p,v
1,37,可,以,睡,着,v,p,v,uz
0,38,以,睡,着,了,p,v,uz,ul
1,39,睡,着,了,。,v,uz,ul,x
1,40,着,了,。,/s,uz,ul,x,NAN
1,0,/s,/s,郭,靖,NAN,NAN,nr,nr
0,1,/s,郭,靖,依,NAN,nr,nr,d
0,2,郭,靖,依,言,nr,nr,d,vg
1,3,靖,依,言,睡,nr,d,vg,v
1,4,依,言,睡,去,d,vg,v,v
1,5,言,睡,去,，,vg,v,v,x
1,6,睡,去,，,一,v,v,x,m
1,7,去,，,一,觉,v,x,m,v
1,8,，,一,觉,醒,x,m,v,v
0,9,一,觉,醒,来,m,v,v,v
1,10,觉,醒,来,，,v,v,v,x
1,11,醒,来,，,东,v,v,x,ns
1,12,来,，,东,方,v,x,ns,n
0,13,，,东,方,已,x,ns,n,d
1,14,东,方,已,然,ns,n,d,c
0,15,方,已,然,微,n,d,c,n
1,16,已,然,微,明,d,c,n,a
0,17,然,微,明,。,c,n,a,x
1,18,微,明,。,/s,n,a,x,NAN
1,0,/s,/s,那,道,NAN,NAN,r,q
0,1,/s,那,道,人,NAN,r,q,n
0,2,那,道,人,用,r,q,n,p
1,3,道,人,用,长,q,n,p,a
0,4,人,用,长,索,n,p,a,nr
0,5,用,长,索,将,p,a,nr,d
1,6,长,索,将,他,a,nr,d,r
1,7,索,将,他,缒,nr,d,r,v
1,8,将,他,缒,将,d,r,v,d
1,9,他,缒,将,下,r,v,d,f
1,10,缒,将,下,去,v,d,f,v
0,11,将,下,去,，,d,f,v,x
1,12,下,去,，,命,f,v,x,n
1,13,去,，,命,他,v,x,n,r
1,14,，,命,他,当,x,n,r,t
1,15,命,他,当,晚,n,r,t,tg
0,16,他,当,晚,再,r,t,tg,d
1,17,当,晚,再,来,t,tg,d,v
1,18,晚,再,来,，,tg,d,v,x
1,19,再,来,，,一,d,v,x,m
1,20,来,，,一,再,v,x,m,d
0,21,，,一,再,叮,x,m,d,zg
1,22,一,再,叮,嘱,m,d,zg,v
0,23,再,叮,嘱,他,d,zg,v,r
1,24,叮,嘱,他,不,zg,v,r,d
1,25,嘱,他,不,可,v,r,d,v
1,26,他,不,可,对,r,d,v,p
1,27,不,可,对,任,d,v,p,r
1,28,可,对,任,何,v,p,r,r
0,29,对,任,何,人,p,r,r,n
0,30,任,何,人,提,r,r,n,v
1,31,何,人,提,及,r,n,v,c
0,32,人,提,及,此,n,v,c,zg
1,33,提,及,此,事,v,c,zg,n
0,34,及,此,事,。,c,zg,n,x
1,35,此,事,。,/s,zg,n,x,NAN
1,0,/s,/s,郭,靖,NAN,NAN,nr,nr
